name,brand,current_affiliate_url,your_affiliate_url,description,sns_post
勝野式 座るだけで骨盤キュッとクッション,,,https://www.amazon.co.jp/dp/B00KZ8LJ9G?tag=curiocity0b-22,座るだけで骨盤を自然にサポート。背筋が伸び、腰の負担を軽減。長時間のデスクワークに最適な人気クッション。,座るだけで背筋が伸びる！在宅ワーク必須の骨盤サポートクッション💺 #在宅ワーク #健康
IKSTAR 第4世代 低反発クッション,,,https://www.amazon.co.jp/dp/B0859NK7PX?tag=curiocity0b-22,高密度低反発ウレタンで腰痛対策に最適。長時間座っても快適で、姿勢矯正にも効果的。,腰痛対策No.1！IKSTARの低反発クッションで快適在宅ワーク✨ #腰痛 #テレワーク
ZNEWMARK 低反発クッション,,,https://www.amazon.co.jp/dp/B0937X5W8D?tag=curiocity0b-22,軽量＆持ち運びやすい低反発クッション。自宅やカフェでの作業にぴったり。,持ち運び楽々！ZNEWMARK低反発クッションでどこでも快適💼 #在宅ワーク #腰痛
サンワダイレクト フットレスト（6段階調整）,,,https://www.amazon.co.jp/dp/B01N2A1G0Z?tag=curiocity0b-22,6段階高さ調整可能な足置き台。足の疲れを軽減し、血行促進に効果的。,足元から健康に！高さ調整可能なフットレストで快適作業👣 #テレワーク #健康
北沢 足らくだ枕（マイクロビーズ）,,,https://www.amazon.co.jp/dp/B01M1G4O28?tag=curiocity0b-22,マイクロビーズで足元を優しく支えるフットレスト。リラックスタイムにも最適。,足元ふんわり！北沢のマイクロビーズ足枕でリラックス🛋 #在宅ワーク
Branch Ergonomic Chair,,,https://www.amazon.co.jp/dp/B08L4VZ6J5?tag=curiocity0b-22,人間工学デザインで長時間作業でも快適。海外でも高評価のワークチェア。,疲れにくい！人間工学デザインのワークチェアで快適作業💺 #テレワーク
FlexiSpot C7,,,https://www.amazon.co.jp/dp/B09VYFF5R6?tag=curiocity0b-22,昇降デスクと相性抜群のエルゴノミクスチェア。姿勢改善に効果的。,姿勢改善！FlexiSpot C7で作業効率アップ📈 #在宅ワーク #健康
Flexispot EW8 Comhar 電動スタンディングデスク,,,https://www.amazon.co.jp/dp/B08CVLQ6G5?tag=curiocity0b-22,USBポート搭載＆高さ調整可能な電動デスク。立ち作業で健康を守る。,立って作業で健康維持！Flexispot電動デスク💻 #テレワーク #健康
Radlove 電動スタンディングデスク,,,https://www.amazon.co.jp/dp/B08T6LJ7J9?tag=curiocity0b-22,コスパ重視の電動昇降デスク。家庭用オフィスに最適。,お手頃価格で立ち作業！Radlove電動デスク✨ #在宅ワーク
Bestinnkits スマートコーヒーウォーマー,,,https://www.amazon.co.jp/dp/B07X4H2FJ8?tag=curiocity0b-22,自動検知でマグカップを温め続ける。寒い季節や長時間作業に重宝。,いつでも温かい☕ Bestinnkitsコーヒーウォーマー #在宅ワーク
Logitech Z207 Bluetoothスピーカー,,,https://www.amazon.co.jp/dp/B074KJ1Z9G?tag=curiocity0b-22,Bluetooth対応で会議も音楽も高音質。コンパクトな2chスピーカー。,高音質＆ワイヤレス！Logitech Z207スピーカー🔊 #在宅ワーク
Anti-fatigue Mat（立ち姿勢疲労軽減マット）,,,https://www.amazon.co.jp/dp/B07Q6Z1M2P?tag=curiocity0b-22,立ち作業時の足腰の疲れを軽減するマット。昇降デスク利用者に最適。,立ち作業が楽になる！疲労軽減マット👣 #テレワーク
Stanley Quencher 保温タンブラー,,,https://www.amazon.co.jp/dp/B09NV7V3BJ?tag=curiocity0b-22,保温・保冷性能抜群のトレンドタンブラー。おしゃれなデザインも魅力。,おしゃれ＆機能性抜群！Stanleyタンブラー🥤 #在宅ワーク
CosHall フットレスト（クッションタイプ）,,,https://www.amazon.co.jp/dp/B08F7Y2KJ2?tag=curiocity0b-22,柔らかいクッションタイプで足を優しく支える。低価格で高評価。,ふわふわ足元！CosHallクッションフットレスト👣 #在宅ワーク
Herman Miller Aeron,,,https://www.amazon.co.jp/dp/B002P8M12S?tag=curiocity0b-22,世界的に有名な高級ワークチェア。長時間座っても疲れにくい。,憧れのHerman Miller Aeron💺在宅ワークを極上に #テレワーク
